text,aspects,aspect_sentiment_pairs,aspect_opinion_pairs,triplets
"Sách thật tuyệt về nội dung cũng như hình thức. Tiki giao hàng nhanh ,gói cẩn thận.... chỉ mỗi tội quên không bọc BOOKCARE cho sách.","['nội dung', 'hình thức.', 'giao hàng', ',gói', 'bọc BOOKCARE cho sách.']","[('nội dung', 'POS'), ('hình thức.', 'POS'), ('giao hàng', 'POS'), (',gói', 'POS'), ('bọc BOOKCARE cho sách.', 'NEG')]","[('nội dung', 'thật tuyệt'), ('hình thức.', 'thật tuyệt'), ('giao hàng', 'nhanh'), (',gói', 'cẩn thận....'), ('bọc BOOKCARE cho sách.', 'quên không')]","[('nội dung', 'thật tuyệt', 'POS'), ('hình thức.', 'thật tuyệt', 'POS'), ('giao hàng', 'nhanh', 'POS'), (',gói', 'cẩn thận....', 'POS'), ('bọc BOOKCARE cho sách.', 'quên không', 'NEG')]"
"Nhân viên vui tính , nhận hàng nhanh, shop đóng gói cẩn thận, sản phẩm thì đẹp, rất đáng mua.","['Nhân viên', 'nhận hàng', 'đóng gói', 'sản phẩm']","[('Nhân viên', 'POS'), ('nhận hàng', 'POS'), ('đóng gói', 'POS'), ('sản phẩm', 'POS')]","[('Nhân viên', 'vui tính'), ('nhận hàng', 'nhanh,'), ('đóng gói', 'cẩn thận,'), ('sản phẩm', 'đẹp,')]","[('Nhân viên', 'vui tính', 'POS'), ('nhận hàng', 'nhanh,', 'POS'), ('đóng gói', 'cẩn thận,', 'POS'), ('sản phẩm', 'đẹp,', 'POS')]"
"toner chất hơi sánh nhưng thoa lên da thấm nhanh. mới dùng k thấy bị kích ứng. chai to nặng nhưng dung tích ít (mình k ham nhiều nhưng thích chai phù hợp với dung tích cho gọn nhẹ hơn, thiết kế dạng này trông cho sang cho nhiều chăng)","['toner chất', 'thoa lên da', 'dùng', 'chai', 'dung tích', 'thiết kế dạng này']","[('toner chất', 'NEU'), ('thoa lên da', 'POS'), ('dùng', 'POS'), ('chai', 'NEU'), ('dung tích', 'NEG'), ('thiết kế dạng này', 'NEU')]","[('toner chất', 'hơi sánh'), ('thoa lên da', 'thấm nhanh.'), ('dùng', 'k thấy bị kích ứng.'), ('chai', 'to nặng'), ('dung tích', 'ít'), ('thiết kế dạng này', 'trông cho sang')]","[('toner chất', 'hơi sánh', 'NEU'), ('thoa lên da', 'thấm nhanh.', 'POS'), ('dùng', 'k thấy bị kích ứng.', 'POS'), ('chai', 'to nặng', 'NEU'), ('dung tích', 'ít', 'NEG'), ('thiết kế dạng này', 'trông cho sang', 'NEU')]"
"Là bản dịch tiếng Việt của The Rules nổi tiếng. Nội dung các rules chắc chỉ những bạn có giá trị truyền thống & tâm lý vững vàng mới lĩnh hội được, đọc thì dễ nhưng thực hành mới khó. Ban đầu nhìn cái bìa màu mè mình không thèm để ý nhưng từ khi biết ẻm là bản dịch của The Rules thì hốt liền hehe",['bìa'],"[('bìa', 'NEU')]","[('bìa', 'màu mè')]","[('bìa', 'màu mè', 'NEU')]"
"Ấn tượng ban đầu  khá là ok, có ngăn kẻ rất gọn gàng và sử dụng rất ổn ạ . Với tầm giá này thì chất lượng balo không có gì phải bàn cãi.","['Ấn tượng ban đầu', 'ngăn kẻ', 'sử dụng', 'chất lượng balo']","[('Ấn tượng ban đầu', 'POS'), ('ngăn kẻ', 'POS'), ('sử dụng', 'POS'), ('chất lượng balo', 'POS')]","[('Ấn tượng ban đầu', 'khá là ok,'), ('ngăn kẻ', 'rất gọn gàng'), ('sử dụng', 'rất ổn'), ('chất lượng balo', 'không có gì phải bàn cãi.')]","[('Ấn tượng ban đầu', 'khá là ok,', 'POS'), ('ngăn kẻ', 'rất gọn gàng', 'POS'), ('sử dụng', 'rất ổn', 'POS'), ('chất lượng balo', 'không có gì phải bàn cãi.', 'POS')]"
"chỉ mềm mịn thôi, không thấm nước chút nào, loại này dùng để lau đồ vật thôi chứ sao dùng khăn tắm được. Ai mua về dùng lau các mặt bóng như kiểu xe ô tô ý",[],[],[],[]
Mùi thom. sài tóc rất mượt. mua hàng tren tiki mình rất an tâm,"['Mùi', 'sài', 'mua hàng tren tiki']","[('Mùi', 'POS'), ('sài', 'POS'), ('mua hàng tren tiki', 'POS')]","[('Mùi', 'thom.'), ('sài', 'tóc rất mượt.'), ('mua hàng tren tiki', 'an tâm')]","[('Mùi', 'thom.', 'POS'), ('sài', 'tóc rất mượt.', 'POS'), ('mua hàng tren tiki', 'an tâm', 'POS')]"
"Miễn bàn vì hàng của hãng chưa bh là ko chuẩn, đóng gói kỹ lướng, giao hàng nhanh, chuẩn chỉnh","['hàng của hãng', 'đóng gói', 'giao hàng', '<IA>']","[('hàng của hãng', 'POS'), ('đóng gói', 'POS'), ('giao hàng', 'POS'), ('<IA>', 'POS')]","[('hàng của hãng', 'chưa bh là ko chuẩn,'), ('đóng gói', 'kỹ lướng,'), ('giao hàng', 'nhanh,'), ('<IA>', 'chuẩn chỉnh')]","[('hàng của hãng', 'chưa bh là ko chuẩn,', 'POS'), ('đóng gói', 'kỹ lướng,', 'POS'), ('giao hàng', 'nhanh,', 'POS'), ('<IA>', 'chuẩn chỉnh', 'POS')]"
Mình cực kì thích í nhưng nếu có ngang 80cm thì lấy thêm vài cái,[],[],[],[]
Dây đeo khá chắc chắn nhưng có mùi keo hơi nhiều. Cũng ko thể đòi hỏi hơn với số tiền này.,"['Dây đeo', 'mùi keo']","[('Dây đeo', 'POS'), ('mùi keo', 'NEG')]","[('Dây đeo', 'khá chắc chắn'), ('mùi keo', 'hơi nhiều.')]","[('Dây đeo', 'khá chắc chắn', 'POS'), ('mùi keo', 'hơi nhiều.', 'NEG')]"
"Sản phẩm được đóng gói rất cẩn thận. Hàng đúng y như hình, không có bị lỗi. Cảm ơn Tiki nhiều. Mua kèm với một túi đựng thảm vừa vặn với thảm túi đẹp rất ưng ý","['đóng gói', 'Hàng', 'túi đựng thảm', 'túi đựng thảm', 'túi', 'túi']","[('đóng gói', 'POS'), ('Hàng', 'POS'), ('túi đựng thảm', 'POS'), ('túi đựng thảm', 'POS'), ('túi', 'POS'), ('túi', 'POS')]","[('đóng gói', 'rất cẩn thận.'), ('Hàng', 'đúng y như hình, không có bị lỗi.'), ('túi đựng thảm', 'vừa vặn'), ('túi đựng thảm', 'đẹp'), ('túi', 'vừa vặn'), ('túi', 'đẹp')]","[('đóng gói', 'rất cẩn thận.', 'POS'), ('Hàng', 'đúng y như hình, không có bị lỗi.', 'POS'), ('túi đựng thảm', 'vừa vặn', 'POS'), ('túi đựng thảm', 'đẹp', 'POS'), ('túi', 'vừa vặn', 'POS'), ('túi', 'đẹp', 'POS')]"
"Tiki giao hàng nhanh, sau 1 ngày đặt là đã có. Đợt này mình được tặng thêm bình giữ nhiệt, túi và sữa rửa mặt. Tiki đóng gói kĩ càng, sản phẩm ko bị lỗi. Chai xịt khoáng dùng lầu đầu ko bị lỗi vòi xịt, ko biết sử dụng lâu thì ntn. Anw, mình hài lòng. Quà tặng dễ thương ghê.","['giao hàng', '<IA>', 'đóng gói', 'sản phẩm', 'vòi xịt,', 'sử dụng', '<IA>', 'Quà tặng']","[('giao hàng', 'POS'), ('<IA>', 'POS'), ('đóng gói', 'POS'), ('sản phẩm', 'POS'), ('vòi xịt,', 'POS'), ('sử dụng', 'NEU'), ('<IA>', 'POS'), ('Quà tặng', 'POS')]","[('giao hàng', 'nhanh,'), ('<IA>', 'được tặng thêm bình giữ nhiệt, túi và sữa rửa mặt.'), ('đóng gói', 'kĩ càng,'), ('sản phẩm', 'ko bị lỗi.'), ('vòi xịt,', 'ko bị lỗi'), ('sử dụng', '<IO>'), ('<IA>', 'hài lòng.'), ('Quà tặng', 'dễ thương ghê.')]","[('giao hàng', 'nhanh,', 'POS'), ('<IA>', 'được tặng thêm bình giữ nhiệt, túi và sữa rửa mặt.', 'POS'), ('đóng gói', 'kĩ càng,', 'POS'), ('sản phẩm', 'ko bị lỗi.', 'POS'), ('vòi xịt,', 'ko bị lỗi', 'POS'), ('sử dụng', '<IO>', 'NEU'), ('<IA>', 'hài lòng.', 'POS'), ('Quà tặng', 'dễ thương ghê.', 'POS')]"
"Cuốn này của Hạc nên nội dung khỏi bàn, hay quá luôn. Tiki giao nhanh, hơn nữa còn bọc lại. Quyển này có bookmark đúng cưng!!!","['nội dung', 'giao', 'bookmark']","[('nội dung', 'POS'), ('giao', 'POS'), ('bookmark', 'POS')]","[('nội dung', 'khỏi bàn, hay quá luôn.'), ('giao', 'nhanh,'), ('bookmark', 'đúng cưng!!!')]","[('nội dung', 'khỏi bàn, hay quá luôn.', 'POS'), ('giao', 'nhanh,', 'POS'), ('bookmark', 'đúng cưng!!!', 'POS')]"
tôi khuyên ai đang có nhu cầu về sp này thì nên bỏ mua đi chứ không lại mất tiền ngu giống tôi đó  mn ah,['tiền'],"[('tiền', 'NEG')]","[('tiền', 'mất tiền ngu')]","[('tiền', 'mất tiền ngu', 'NEG')]"
"K thể nói rằng đây là cuốn sách mô tả chi tiết về bệnh con nít nhưng với văn phong chân thật, dí dỏm, ngắn gọn, xúc tích  đáp ứng được nhu cầu của độc giả. Cuốn sách hay đáng để đọc.","['văn phong', 'giả. Cuốn']","[('văn phong', 'POS'), ('giả. Cuốn', 'POS')]","[('văn phong', 'chân thật, dí dỏm, ngắn gọn, xúc tích'), ('giả. Cuốn', 'sách hay đáng để')]","[('văn phong', 'chân thật, dí dỏm, ngắn gọn, xúc tích', 'POS'), ('giả. Cuốn', 'sách hay đáng để', 'POS')]"
"Giao hàng nhanh, nhanh viên giao hàng nhiệt tình. Hàng đẹp","['Giao hàng', 'nhanh viên giao hàng', 'Hàng']","[('Giao hàng', 'POS'), ('nhanh viên giao hàng', 'POS'), ('Hàng', 'POS')]","[('Giao hàng', 'nhanh,'), ('nhanh viên giao hàng', 'nhiệt tình.'), ('Hàng', 'đẹp')]","[('Giao hàng', 'nhanh,', 'POS'), ('nhanh viên giao hàng', 'nhiệt tình.', 'POS'), ('Hàng', 'đẹp', 'POS')]"
gối rất êm. trước đây nằm gối bông mình rất hay bị đau vai gáy khi thức dậy. từ lúc chuyển qua dùng gối này đã hết bị đau khi thức dậy,"['gối', 'dùng gối này']","[('gối', 'POS'), ('dùng gối này', 'POS')]","[('gối', 'rất êm.'), ('dùng gối này', 'hết bị đau')]","[('gối', 'rất êm.', 'POS'), ('dùng gối này', 'hết bị đau', 'POS')]"
"Chất lượg tốt, sử dụng lâu dài chưa biết thế nào! Luôn ủng hộ shop","['Chất lượg', 'sử dụng lâu dài', 'shop']","[('Chất lượg', 'POS'), ('sử dụng lâu dài', 'NEU'), ('shop', 'POS')]","[('Chất lượg', 'tốt,'), ('sử dụng lâu dài', '<IO>'), ('shop', 'Luôn ủng hộ')]","[('Chất lượg', 'tốt,', 'POS'), ('sử dụng lâu dài', '<IO>', 'NEU'), ('shop', 'Luôn ủng hộ', 'POS')]"
tốt đáng mua cho cửa hàng 5 sao luôn d..............,['cửa hàng'],"[('cửa hàng', 'POS')]","[('cửa hàng', '5 sao')]","[('cửa hàng', '5 sao', 'POS')]"
Sản phẩm quá bé so với tưởng tượng. chắc 1 lần bôi là hết.,"['Sản phẩm', 'bôi']","[('Sản phẩm', 'NEG'), ('bôi', 'NEG')]","[('Sản phẩm', 'quá bé'), ('bôi', '1 lần bôi là hết.')]","[('Sản phẩm', 'quá bé', 'NEG'), ('bôi', '1 lần bôi là hết.', 'NEG')]"
"Lưỡi dao hơi cao, xay ít sẽ khó. Máy nặng, tháo lắp dễ dàng","['Lưỡi dao', 'xay ít', 'Máy', 'tháo lắp']","[('Lưỡi dao', 'NEG'), ('xay ít', 'NEG'), ('Máy', 'NEU'), ('tháo lắp', 'POS')]","[('Lưỡi dao', 'hơi cao,'), ('xay ít', 'khó.'), ('Máy', 'nặng,'), ('tháo lắp', 'dễ dàng')]","[('Lưỡi dao', 'hơi cao,', 'NEG'), ('xay ít', 'khó.', 'NEG'), ('Máy', 'nặng,', 'NEU'), ('tháo lắp', 'dễ dàng', 'POS')]"
"Mùi xả nhiều hơn mùi chanh nên hơi gắt, nói chung cũng ok",['Mùi xả'],"[('Mùi xả', 'NEG')]","[('Mùi xả', 'hơi gắt,')]","[('Mùi xả', 'hơi gắt,', 'NEG')]"
"Tiki giao rất nhanh, 7h15 đặt mà 8h30 đã có. Đóng gói cẩn thận, 😢 quà tặng kèm không dùng đc","['Tiki giao', 'Đóng gói', 'quà tặng kèm']","[('Tiki giao', 'POS'), ('Đóng gói', 'POS'), ('quà tặng kèm', 'NEG')]","[('Tiki giao', 'rất nhanh,'), ('Đóng gói', 'cẩn thận,'), ('quà tặng kèm', 'không dùng đc')]","[('Tiki giao', 'rất nhanh,', 'POS'), ('Đóng gói', 'cẩn thận,', 'POS'), ('quà tặng kèm', 'không dùng đc', 'NEG')]"
"Giao hàng nhanh , sách đẹp, chưa đọc nên không biết nội dung thế nào, chất lượng tốt không bị nhăn đầu, cuối sách như mọi lần","['Giao hàng', 'sách', 'chất lượng', 'đầu, cuối sách']","[('Giao hàng', 'POS'), ('sách', 'POS'), ('chất lượng', 'POS'), ('đầu, cuối sách', 'POS')]","[('Giao hàng', 'nhanh'), ('sách', 'đẹp,'), ('chất lượng', 'tốt'), ('đầu, cuối sách', 'không bị nhăn')]","[('Giao hàng', 'nhanh', 'POS'), ('sách', 'đẹp,', 'POS'), ('chất lượng', 'tốt', 'POS'), ('đầu, cuối sách', 'không bị nhăn', 'POS')]"
"mình thấy ưng ý. chất liệu vải mềm mịn, độ co dãn vừa phải. mình quấn cho bé theo video shop hướng dẫn thấy hiệu quả hơn nhiều. cảm ơn những giá trị shop đã chia sẻ. có dịp sẽ ủng hộ shop sản phẩm khác","['chất liệu vải', 'độ co dãn', 'quấn', 'shop', 'shop']","[('chất liệu vải', 'POS'), ('độ co dãn', 'POS'), ('quấn', 'POS'), ('shop', 'POS'), ('shop', 'POS')]","[('chất liệu vải', 'mềm mịn,'), ('độ co dãn', 'vừa phải.'), ('quấn', 'hiệu quả hơn nhiều.'), ('shop', 'cảm ơn'), ('shop', 'ủng hộ')]","[('chất liệu vải', 'mềm mịn,', 'POS'), ('độ co dãn', 'vừa phải.', 'POS'), ('quấn', 'hiệu quả hơn nhiều.', 'POS'), ('shop', 'cảm ơn', 'POS'), ('shop', 'ủng hộ', 'POS')]"
"Sau 15 ngày sử dụng thì mình thấy vết thâm mờ đi đáng kể. Đúng với công dụng của nó. Nhưng các bạn da hỗn hợp thiên dầu nên cân nhắc kỹ, vì serum hơi bí da, sau khi thoa thấm ko nhanh, dính dính gây cảm giác hơi khó chịu, và có mùi như “xúc xích” hi.","['sử dụng', 'công dụng', 'serum', 'thoa', '<IA>', 'mùi']","[('sử dụng', 'POS'), ('công dụng', 'POS'), ('serum', 'NEG'), ('thoa', 'NEG'), ('<IA>', 'NEG'), ('mùi', 'NEG')]","[('sử dụng', 'vết thâm mờ đi đáng kể.'), ('công dụng', 'Đúng'), ('serum', 'hơi bí da,'), ('thoa', 'thấm ko nhanh,'), ('<IA>', 'dính dính gây cảm giác hơi khó chịu,'), ('mùi', 'như “xúc xích”')]","[('sử dụng', 'vết thâm mờ đi đáng kể.', 'POS'), ('công dụng', 'Đúng', 'POS'), ('serum', 'hơi bí da,', 'NEG'), ('thoa', 'thấm ko nhanh,', 'NEG'), ('<IA>', 'dính dính gây cảm giác hơi khó chịu,', 'NEG'), ('mùi', 'như “xúc xích”', 'NEG')]"
tôi mua hai bịch tã của bobby đang có chương trình tặng gối ôm thú bông sao tiki lại giao mỗi tã mà ko có quà tặng là hai gối ôm thú bông là sao ạ.,['quà tặng là hai gối ôm thú bông'],"[('quà tặng là hai gối ôm thú bông', 'NEG')]","[('quà tặng là hai gối ôm thú bông', 'ko có')]","[('quà tặng là hai gối ôm thú bông', 'ko có', 'NEG')]"
"Vay vai binh tg, kha la nhan, vay rong . Voi gia nay thi co nhieu dam dep hon","['vai', 'vai', 'vai', 'vay', 'vay', 'vay', 'gia nay']","[('vai', 'NEG'), ('vai', 'NEG'), ('vai', 'NEG'), ('vay', 'NEG'), ('vay', 'NEG'), ('vay', 'NEG'), ('gia nay', 'NEG')]","[('vai', 'binh tg,'), ('vai', 'nhan,'), ('vai', 'rong'), ('vay', 'binh tg,'), ('vay', 'nhan,'), ('vay', 'rong'), ('gia nay', 'co nhieu dam dep hon')]","[('vai', 'binh tg,', 'NEG'), ('vai', 'nhan,', 'NEG'), ('vai', 'rong', 'NEG'), ('vay', 'binh tg,', 'NEG'), ('vay', 'nhan,', 'NEG'), ('vay', 'rong', 'NEG'), ('gia nay', 'co nhieu dam dep hon', 'NEG')]"
"Đã test sơ qua, nghe đủ 2 tai, chất lượng âm thanh rất ok, đóng gói cẩn thận,","['nghe', 'chất lượng âm thanh', 'đóng gói']","[('nghe', 'POS'), ('chất lượng âm thanh', 'POS'), ('đóng gói', 'POS')]","[('nghe', 'đủ 2 tai,'), ('chất lượng âm thanh', 'rất ok,'), ('đóng gói', 'cẩn thận,')]","[('nghe', 'đủ 2 tai,', 'POS'), ('chất lượng âm thanh', 'rất ok,', 'POS'), ('đóng gói', 'cẩn thận,', 'POS')]"
